step,walltime,_timestamp,train/val
11040,2025-05-08 08:53:14.815202475,1746694394.8152025,1.7043068684346059
18496,2025-05-08 08:55:24.519916057,1746694524.519916,14.922769650625057
25344,2025-05-08 08:57:17.165134668,1746694637.1651347,33.415680497606225
32672,2025-05-08 08:59:19.287846088,1746694759.287846,49.98529415047325
39872,2025-05-08 09:01:25.668124914,1746694885.668125,64.76831994162666
46688,2025-05-08 09:03:16.235276937,1746694996.235277,76.82807408811901
54112,2025-05-08 09:05:21.886284828,1746695121.8862848,88.5723991394043
61088,2025-05-08 09:07:22.533917188,1746695242.5339172,99.45946301451517
68128,2025-05-08 09:09:20.314417601,1746695360.3144176,111.10926795872776
75328,2025-05-08 09:11:18.406467438,1746695478.4064674,123.45727282630072
82656,2025-05-08 09:13:20.728505611,1746695600.7285056,134.0752115791021
89856,2025-05-08 09:15:17.489231348,1746695717.4892313,145.46715327792697
97248,2025-05-08 09:17:29.633993626,1746695849.6339936,157.61187470836558
103936,2025-05-08 09:19:18.022055864,1746695958.0220559,171.99663039942106
111296,2025-05-08 09:21:25.282309771,1746696085.2823098,183.507850124525
118272,2025-05-08 09:23:21.941403389,1746696201.9414034,197.42358192828817
125472,2025-05-08 09:25:18.558314323,1746696318.5583143,209.31264860365127
132896,2025-05-08 09:27:26.266873360,1746696446.2668734,227.6511754742984
139840,2025-05-08 09:29:19.157450676,1746696559.1574507,244.44292226694697
147232,2025-05-08 09:31:27.624482632,1746696687.6244826,262.78076182609
154112,2025-05-08 09:33:19.468652487,1746696799.4686525,281.097157500511
161536,2025-05-08 09:35:36.082275152,1746696936.0822752,295.23411441671436
167840,2025-05-08 09:37:21.281805038,1746697041.281805,312.19983068940604
175200,2025-05-08 09:39:20.604915857,1746697160.6049159,325.85331609974736
182592,2025-05-08 09:41:27.146132946,1746697287.146133,335.4980964000091
189600,2025-05-08 09:43:21.007849932,1746697401.00785,345.0175789785167
196992,2025-05-08 09:45:27.875180721,1746697527.8751807,355.51382338949094
203968,2025-05-08 09:47:22.604894161,1746697642.6048942,364.62428208447375
211296,2025-05-08 09:49:24.854585171,1746697764.8545852,372.3680849533414
218432,2025-05-08 09:51:26.515920877,1746697886.5159209,381.2842032941468
225568,2025-05-08 09:53:25.670805454,1746698005.6708055,389.30994644507166
232768,2025-05-08 09:55:22.428510904,1746698122.428511,394.7059498257107
240192,2025-05-08 09:57:25.452435493,1746698245.4524355,402.79092885707985
247424,2025-05-08 09:59:26.165159941,1746698366.16516,411.86981261936967
254624,2025-05-08 10:01:24.120095491,1746698484.1200955,420.7908474561903
261952,2025-05-08 10:03:26.771742582,1746698606.7717426,427.7901959648299
269152,2025-05-08 10:05:23.836585999,1746698723.836586,434.1671777682834
276480,2025-05-08 10:07:33.210857868,1746698853.2108579,440.45957213822413
283328,2025-05-08 10:09:24.301791191,1746698964.3017912,447.08223392807434
290752,2025-05-08 10:11:31.211064816,1746699091.2110648,453.81221167794587
297760,2025-05-08 10:13:24.965611696,1746699204.9656117,457.1484548664528
305184,2025-05-08 10:15:35.973476648,1746699335.9734766,461.72534592398284
311936,2025-05-08 10:17:27.152903080,1746699447.152903,467.4206331442883
319264,2025-05-08 10:19:25.872934580,1746699565.8729346,473.84847177896955
326592,2025-05-08 10:21:51.394050121,1746699711.3940501,479.645208700255
332448,2025-05-08 10:23:26.357064962,1746699806.357065,484.002342036513
339872,2025-05-08 10:25:36.821751118,1746699936.821751,488.21762718003373
346656,2025-05-08 10:27:32.782682896,1746700052.782683,491.9316450694822
353728,2025-05-08 10:29:30.752668619,1746700170.7526686,495.28534432665793
360928,2025-05-08 10:31:28.642021418,1746700288.6420214,498.3097216627333
368288,2025-05-08 10:33:27.953658104,1746700407.953658,501.3100786292035
375680,2025-05-08 10:35:33.375169992,1746700533.37517,504.32941374014985
382656,2025-05-08 10:37:29.172171116,1746700649.172171,506.594013319103
390016,2025-05-08 10:39:31.859255314,1746700771.8592553,508.3256195400072
397216,2025-05-08 10:41:29.620758533,1746700889.6207585,509.521468878852
404544,2025-05-08 10:43:31.980406761,1746701011.9804068,510.80318594187105
411744,2025-05-08 10:45:28.789913177,1746701128.7899132,511.8459758843316
419136,2025-05-08 10:47:37.662892103,1746701257.662892,513.1547966994249
425984,2025-05-08 10:49:28.951423883,1746701368.951424,514.8411626904924
433312,2025-05-08 10:51:37.375135183,1746701497.3751352,516.174408625307
440192,2025-05-08 10:53:29.445631504,1746701609.4456315,518.2081159547317
447616,2025-05-08 10:55:29.875992060,1746701729.875992,520.1934686529225
455040,2025-05-08 10:57:36.396228790,1746701856.3962288,522.0158471074598
462080,2025-05-08 10:59:30.556415558,1746701970.5564156,523.6953813726252
469472,2025-05-08 11:01:39.286769152,1746702099.2867692,525.1223649854784
476352,2025-05-08 11:03:30.912544966,1746702210.912545,526.311406441622
483776,2025-05-08 11:05:37.837658882,1746702337.837659,527.2022274938123
490720,2025-05-08 11:07:32.807611942,1746702452.807612,528.1184244815106
498080,2025-05-08 11:09:35.553162575,1746702575.5531626,528.9082642264988
